Strongly Outperforming Benchmark Index,
Date: 26-Aug-2022,
Major Stocks,
Generated by and for: sr.chman6@gmail.com,

Stock Name,Symbol,Exch,Sector Name,Industry Name,Index,RS,Close,Chg %,Symbol with Comma for External Upload
Adani Transmission Ltd.,ADANITRANS,NSE,Power,Power Generation/Distribution,NIFTY 50,0.67,3751.20,1.00,"ADANITRANS,"
Hinduja Global Solutions Ltd.,HGS,NSE,Information Technology,BPO/ITeS,NIFTY 50,0.51,1572.35,-1.50,"HGS,"
Dhani Services Ltd.,DHANI,NSE,Finance,Finance - Stock Broking,NIFTY 50,0.45,68.40,4.30,"DHANI,"
Campus Activewear Ltd.,CAMPUS,NSE,Retailing,Footwear,NIFTY 50,0.38,487.05,0.10,"CAMPUS,"
MAS Financial Services Ltd.,MASFIN,NSE,Finance,Finance Term Lending,NIFTY 50,0.35,737.60,1.30,"MASFIN,"
Adani Enterprises Ltd.,ADANIENT,NSE,Trading,Trading,NIFTY 50,0.34,3139.55,2.40,"ADANIENT,"
Adani Total Gas Ltd.,ATGL,NSE,Gas Transmission,Gas Transmission/Marketing,NIFTY 50,0.32,3459.65,2.80,"ATGL,"
Mahindra CIE Automotive Ltd.,MAHINDCIE,NSE,Automobile & Ancillaries,Forgings,NIFTY 50,0.32,282.50,3.80,"MAHINDCIE,"
Ceat Ltd.,CEATLTD,NSE,Automobile & Ancillaries,Tyres & Allied,NIFTY 50,0.31,1380.25,-0.30,"CEATLTD,"
Karur Vysya Bank Ltd.,KARURVYSYA,NSE,Banking,Bank - Private,NIFTY 50,0.31,69.50,3.90,"KARURVYSYA,"
Can Fin Homes Ltd.,CANFINHOME,NSE,Finance,Finance - Housing,NIFTY 50,0.30,637.00,1.10,"CANFINHOME,"
IDFC First Bank Ltd.,IDFCFIRSTB,NSE,Banking,Bank - Private,NIFTY 50,0.30,48.45,-1.00,"IDFCFIRSTB,"
KSB Ltd.,KSB,NSE,Capital Goods,Engineering - Industrial Equipments,NIFTY 50,0.30,1908.95,-1.10,"KSB,"
Asahi India Glass Ltd.,ASAHIINDIA,NSE,Construction Materials,Glass,NIFTY 50,0.29,630.90,-0.30,"ASAHIINDIA,"
Metro Brands Ltd.,METROBRAND,NSE,Retailing,Footwear,NIFTY 50,0.29,778.10,-1.20,"METROBRAND,"
SKF India Ltd.,SKFINDIA,NSE,Automobile & Ancillaries,Bearings,NIFTY 50,0.29,4709.55,-2.10,"SKFINDIA,"
Tube Investments of India Ltd.,TIINDIA,NSE,Automobile & Ancillaries,Cycles,NIFTY 50,0.29,2150.35,2.70,"TIINDIA,"
Westlife Development Ltd.,WESTLIFE,NSE,Hospitality,"Hotel, Resort & Restaurants",NIFTY 50,0.29,644.55,2.60,"WESTLIFE,"
ABB India Ltd.,ABB,NSE,Capital Goods,Electric Equipment,NIFTY 50,0.28,3170.65,0.80,"ABB,"
Aptus Value Housing Finance India Ltd.,APTUS,NSE,Finance,Finance - Housing,NIFTY 50,0.28,349.35,5.20,"APTUS,"
Deepak Fertilisers And Petrochemicals Corporation Ltd.,DEEPAKFERT,NSE,Chemicals,Fertilizers,NIFTY 50,0.28,954.05,-1.10,"DEEPAKFERT,"
La Opala RG Ltd.,LAOPALA,NSE,Construction Materials,Glass,NIFTY 50,0.28,352.05,2.60,"LAOPALA,"
Varun Beverages Ltd.,VBL,NSE,Fast Moving Consumer Goods,Consumer Food,NIFTY 50,0.28,1023.40,-0.50,"VBL,"
BEML Ltd.,BEML,NSE,Capital Goods,Engineering - Industrial Equipments,NIFTY 50,0.26,1837.25,2.20,"BEML,"
City Union Bank Ltd.,CUB,NSE,Banking,Bank - Private,NIFTY 50,0.26,188.00,-0.80,"CUB,"
Sapphire Foods India Ltd.,SAPPHIRE,NSE,Fast Moving Consumer Goods,Consumer Food,NIFTY 50,0.26,1258.90,3.10,"SAPPHIRE,"
The Great Eastern Shipping Company Ltd.,GESHIP,NSE,Logistics,Shipping,NIFTY 50,0.25,550.90,1.90,"GESHIP,"
Adani Green Energy Ltd.,ADANIGREEN,NSE,Power,Power Generation/Distribution,NIFTY 50,0.24,2392.75,1.00,"ADANIGREEN,"
Affle (India) Ltd.,AFFLE,NSE,Telecom,Telecommunication - Equipment,NIFTY 50,0.24,1333.60,0.40,"AFFLE,"
IDFC Ltd.,IDFC,NSE,Finance,Finance - NBFC,NIFTY 50,0.24,66.55,0.90,"IDFC,"
Schaeffler India Ltd.,SCHAEFFLER,NSE,Automobile & Ancillaries,Bearings,NIFTY 50,0.24,3011.55,-0.20,"SCHAEFFLER,"
Adani Power Ltd.,ADANIPOWER,NSE,Power,Power Generation/Distribution,NIFTY 50,0.23,375.50,-4.60,"ADANIPOWER,"
Kalyan Jewellers India Ltd.,KALYANKJIL,NSE,Diamond & Jewellery,Diamond  &  Jewellery,NIFTY 50,0.23,79.50,-2.50,"KALYANKJIL,"
Lakshmi Machine Works Ltd.,LAXMIMACH,NSE,Textile,Textile - Machinery,NIFTY 50,0.23,11928.65,1.60,"LAXMIMACH,"
Uflex Ltd.,UFLEX,NSE,Fast Moving Consumer Goods,Packaging,NIFTY 50,0.23,804.90,4.00,"UFLEX,"
UNO Minda Ltd.,UNOMINDA,NSE,Automobile & Ancillaries,Auto Ancillary,NIFTY 50,0.23,570.45,1.00,"UNOMINDA,"
Bajaj Finserv Ltd.,BAJAJFINSV,NSE,Finance,Finance - Investment,NIFTY 50,0.22,16286.00,0.20,"BAJAJFINSV,"
Honeywell Automation India Ltd.,HONAUT,NSE,Consumer Durables,Consumer Durables - Electronics,NIFTY 50,0.22,42753.85,-0.20,"HONAUT,"
KRBL Ltd.,KRBL,NSE,Fast Moving Consumer Goods,Consumer Food,NIFTY 50,0.22,282.30,-6.60,"KRBL,"
Mazagon Dock Shipbuilders Ltd.,MAZDOCK,NSE,Ship Building,Ship Building,NIFTY 50,0.22,354.15,12.80,"MAZDOCK,"
Sobha Ltd.,SOBHA,NSE,Realty,Construction - Real Estate,NIFTY 50,0.22,712.10,-0.60,"SOBHA,"
CCL Products (India) Ltd.,CCL,NSE,Agriculture,Tea/Coffee,NIFTY 50,0.21,477.45,0.70,"CCL,"
PI Industries Ltd.,PIIND,NSE,Chemicals,Pesticides & Agrochemicals,NIFTY 50,0.21,3376.40,-0.70,"PIIND,"
BASF India Ltd.,BASF,NSE,Chemicals,Pesticides & Agrochemicals,NIFTY 50,0.20,3362.90,-0.10,"BASF,"
JSW Energy Ltd.,JSWENERGY,NSE,Power,Power Generation/Distribution,NIFTY 50,0.20,319.45,-0.70,"JSWENERGY,"
Grindwell Norton Ltd.,GRINDWELL,NSE,Abrasives,Abrasives,NIFTY 50,0.19,2220.45,-0.50,"GRINDWELL,"
Radico Khaitan Ltd.,RADICO,NSE,Alcohol,Breweries & Distilleries,NIFTY 50,0.19,1037.55,0.00,"RADICO,"
The India Cements Ltd.,INDIACEM,NSE,Construction Materials,Cement & Construction Materials,NIFTY 50,0.19,209.95,0.50,"INDIACEM,"
Trent Ltd.,TRENT,NSE,Retailing,Retailing,NIFTY 50,0.19,1390.60,2.30,"TRENT,"
CG Power and Industrial Solutions Ltd.,CGPOWER,NSE,Capital Goods,Electric Equipment,NIFTY 50,0.18,227.10,-0.30,"CGPOWER,"
Eicher Motors Ltd.,EICHERMOT,NSE,Automobile & Ancillaries,Automobile Two & Three Wheelers,NIFTY 50,0.18,3355.10,-3.60,"EICHERMOT,"
Fine Organic Industries Ltd.,FINEORG,NSE,Chemicals,Chemicals,NIFTY 50,0.18,6219.35,0.50,"FINEORG,"
Pidilite Industries Ltd.,PIDILITIND,NSE,Chemicals,Chemicals,NIFTY 50,0.18,2666.90,0.10,"PIDILITIND,"
Tata Communications Ltd.,TATACOMM,NSE,Telecom,Telecommunication - Service  Provider,NIFTY 50,0.18,1168.05,0.90,"TATACOMM,"
TVS Motor Company Ltd.,TVSMOTOR,NSE,Automobile & Ancillaries,Automobile Two & Three Wheelers,NIFTY 50,0.18,954.45,0.60,"TVSMOTOR,"
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,NSE,Automobile & Ancillaries,Auto Ancillary,NIFTY 50,0.18,9770.25,-0.20,"ZFCVINDIA,"
Astral Ltd.,ASTRAL,NSE,Plastic Products,Plastic Products,NIFTY 50,0.17,2108.70,0.60,"ASTRAL,"
GMM Pfaudler Ltd.,GMMPFAUDLR,NSE,Capital Goods,Engineering - Industrial Equipments,NIFTY 50,0.17,1683.25,5.00,"GMMPFAUDLR,"
Grasim Industries Ltd.,GRASIM,NSE,Construction Materials,Cement & Construction Materials,NIFTY 50,0.17,1675.25,3.10,"GRASIM,"
JK Cement Ltd.,JKCEMENT,NSE,Construction Materials,Cement & Construction Materials,NIFTY 50,0.17,2650.65,0.90,"JKCEMENT,"
Torrent Power Ltd.,TORNTPOWER,NSE,Power,Power Generation/Distribution,NIFTY 50,0.17,576.35,0.80,"TORNTPOWER,"
UTI Asset Management Company Ltd.,UTIAMC,NSE,Finance,Finance - Asset Management,NIFTY 50,0.17,826.85,2.60,"UTIAMC,"
Bajaj Electricals Ltd.,BAJAJELEC,NSE,Consumer Durables,Consumer Durables - Domestic Appliances,NIFTY 50,0.16,1224.00,-1.80,"BAJAJELEC,"
Bharat Electronics Ltd.,BEL,NSE,Capital Goods,Engineering - Industrial Equipments,NIFTY 50,0.16,305.35,2.90,"BEL,"
Dr. Lal Pathlabs Ltd.,LALPATHLAB,NSE,Healthcare,Hospital & Healthcare Services,NIFTY 50,0.16,2636.70,2.00,"LALPATHLAB,"
Home First Finance Company India Ltd.,HOMEFIRST,NSE,Finance,Finance - Housing,NIFTY 50,0.16,965.20,1.60,"HOMEFIRST,"
ITI Ltd.,ITI,NSE,Telecom,Telecommunication - Equipment,NIFTY 50,0.16,114.05,-1.20,"ITI,"
Jyothy Labs Ltd.,JYOTHYLAB,NSE,Fast Moving Consumer Goods,Household & Personal Products,NIFTY 50,0.16,189.60,-1.20,"JYOTHYLAB,"
Mahindra Lifespace Developers Ltd.,MAHLIFE,NSE,Realty,Construction - Real Estate,NIFTY 50,0.16,510.00,0.40,"MAHLIFE,"
Restaurant Brands Asia Ltd.,RBA,NSE,Hospitality,"Hotel, Resort & Restaurants",NIFTY 50,0.16,130.25,-0.80,"RBA,"
The Federal Bank Ltd.,FEDERALBNK,NSE,Banking,Bank - Private,NIFTY 50,0.16,113.90,0.00,"FEDERALBNK,"
Yes Bank Ltd.,YESBANK,NSE,Banking,Bank - Private,NIFTY 50,0.16,16.45,-0.30,"YESBANK,"
Aegis Logistics Ltd.,AEGISCHEM,NSE,Logistics,Logistics,NIFTY 50,0.15,267.30,3.30,"AEGISCHEM,"
Bank Of Baroda,BANKBARODA,NSE,Banking,Bank - Public,NIFTY 50,0.15,128.30,1.90,"BANKBARODA,"
Elgi Equipments Ltd.,ELGIEQUIP,NSE,Capital Goods,Compressors / Pumps,NIFTY 50,0.15,494.75,5.70,"ELGIEQUIP,"
Hindustan Aeronautics Ltd.,HAL,NSE,Aviation,Airlines,NIFTY 50,0.15,2273.25,2.40,"HAL,"
JK Paper Ltd.,JKPAPER,NSE,Paper,Paper & Paper Products,NIFTY 50,0.15,414.70,-0.60,"JKPAPER,"
Nuvoco Vistas Corporation Ltd.,NUVOCO,NSE,Construction Materials,Cement & Construction Materials,NIFTY 50,0.15,351.70,0.10,"NUVOCO,"
Oberoi Realty Ltd.,OBEROIRLTY,NSE,Realty,Construction - Real Estate,NIFTY 50,0.15,968.25,-0.50,"OBEROIRLTY,"
One97 Communications Ltd.,PAYTM,NSE,Information Technology,e-Commerce,NIFTY 50,0.15,762.05,-0.90,"PAYTM,"
Poonawalla Fincorp Ltd.,POONAWALLA,NSE,Finance,Finance - NBFC,NIFTY 50,0.15,303.75,5.70,"POONAWALLA,"
Siemens Ltd.,SIEMENS,NSE,Capital Goods,Electric Equipment,NIFTY 50,0.15,2920.05,1.30,"SIEMENS,"
The Indian Hotels Company Ltd.,INDHOTEL,NSE,Hospitality,"Hotel, Resort & Restaurants",NIFTY 50,0.15,280.85,2.70,"INDHOTEL,"
The Phoenix Mills Ltd.,PHOENIXLTD,NSE,Realty,Construction - Real Estate,NIFTY 50,0.15,1397.65,-1.80,"PHOENIXLTD,"
Thermax Ltd.,THERMAX,NSE,Capital Goods,Engineering - Industrial Equipments,NIFTY 50,0.15,2492.75,1.70,"THERMAX,"
Triveni Turbine Ltd.,TRITURBINE,NSE,Capital Goods,Engineering - Industrial Equipments,NIFTY 50,0.15,200.20,-1.20,"TRITURBINE,"
Asian Paints Ltd.,ASIANPAINT,NSE,Chemicals,Paints,NIFTY 50,0.14,3323.55,-1.20,"ASIANPAINT,"
Bosch Ltd.,BOSCHLTD,NSE,Automobile & Ancillaries,Auto Ancillary,NIFTY 50,0.14,17252.15,0.30,"BOSCHLTD,"
Century Plyboards (India) Ltd.,CENTURYPLY,NSE,Construction Materials,Wood & Wood Products,NIFTY 50,0.14,677.55,1.70,"CENTURYPLY,"
IDBI Bank Ltd.,IDBI,NSE,Banking,Bank - Private,NIFTY 50,0.14,45.75,6.30,"IDBI,"
IFB Industries Ltd.,IFBIND,NSE,Consumer Durables,Consumer Durables - Domestic Appliances,NIFTY 50,0.14,1038.90,-0.60,"IFBIND,"
Kajaria Ceramics Ltd.,KAJARIACER,NSE,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,NIFTY 50,0.14,1171.80,-0.20,"KAJARIACER,"
Kansai Nerolac Paints Ltd.,KANSAINER,NSE,Chemicals,Paints,NIFTY 50,0.14,492.90,1.20,"KANSAINER,"
Mahindra & Mahindra Ltd.,M&M,NSE,Automobile & Ancillaries,Automobiles - Passenger Cars,NIFTY 50,0.14,1274.65,1.20,"M&M,"
REC Ltd.,RECLTD,NSE,Finance,Finance Term Lending,NIFTY 50,0.14,108.60,0.70,"RECLTD,"
