Strongly Outperforming Benchmark Index,
Date: 24-Aug-2022,
Major Stocks,
Generated by and for: sr.chman6@gmail.com,

Stock Name,Symbol,Exch,Sector Name,Industry Name,Index,RS,Close,Chg %,Symbol with Comma for External Upload
Adani Transmission Ltd.,ADANITRANS,NSE,Power,Power Generation/Distribution,NIFTY 50,0.73,3700.40,2.70,"ADANITRANS,"
Hinduja Global Solutions Ltd.,HGS,NSE,Information Technology,BPO/ITeS,NIFTY 50,0.62,1662.75,2.40,"HGS,"
Campus Activewear Ltd.,CAMPUS,NSE,Retailing,Footwear,NIFTY 50,0.35,480.20,-2.20,"CAMPUS,"
Adani Enterprises Ltd.,ADANIENT,NSE,Trading,Trading,NIFTY 50,0.33,3134.65,3.40,"ADANIENT,"
Dhani Services Ltd.,DHANI,NSE,Finance,Finance - Stock Broking,NIFTY 50,0.33,62.45,5.00,"DHANI,"
Metro Brands Ltd.,METROBRAND,NSE,Retailing,Footwear,NIFTY 50,0.32,801.85,-1.80,"METROBRAND,"
Varun Beverages Ltd.,VBL,NSE,Fast Moving Consumer Goods,Consumer Food,NIFTY 50,0.32,1030.90,7.00,"VBL,"
KRBL Ltd.,KRBL,NSE,Fast Moving Consumer Goods,Consumer Food,NIFTY 50,0.31,304.80,0.60,"KRBL,"
Mahindra CIE Automotive Ltd.,MAHINDCIE,NSE,Automobile & Ancillaries,Forgings,NIFTY 50,0.31,270.20,-1.90,"MAHINDCIE,"
Adani Total Gas Ltd.,ATGL,NSE,Gas Transmission,Gas Transmission/Marketing,NIFTY 50,0.30,3427.80,-0.10,"ATGL,"
Honeywell Automation India Ltd.,HONAUT,NSE,Consumer Durables,Consumer Durables - Electronics,NIFTY 50,0.30,43285.70,2.10,"HONAUT,"
IDFC First Bank Ltd.,IDFCFIRSTB,NSE,Banking,Bank - Private,NIFTY 50,0.30,48.60,5.50,"IDFCFIRSTB,"
SKF India Ltd.,SKFINDIA,NSE,Automobile & Ancillaries,Bearings,NIFTY 50,0.30,4778.05,1.00,"SKFINDIA,"
Ceat Ltd.,CEATLTD,NSE,Automobile & Ancillaries,Tyres & Allied,NIFTY 50,0.29,1360.50,-1.30,"CEATLTD,"
Deepak Fertilisers And Petrochemicals Corporation Ltd.,DEEPAKFERT,NSE,Chemicals,Fertilizers,NIFTY 50,0.29,954.40,-2.30,"DEEPAKFERT,"
Asahi India Glass Ltd.,ASAHIINDIA,NSE,Construction Materials,Glass,NIFTY 50,0.28,623.20,6.70,"ASAHIINDIA,"
KSB Ltd.,KSB,NSE,Capital Goods,Engineering - Industrial Equipments,NIFTY 50,0.28,1912.80,4.60,"KSB,"
Sobha Ltd.,SOBHA,NSE,Realty,Construction - Real Estate,NIFTY 50,0.28,710.00,2.60,"SOBHA,"
Can Fin Homes Ltd.,CANFINHOME,NSE,Finance,Finance - Housing,NIFTY 50,0.27,636.40,6.80,"CANFINHOME,"
Karur Vysya Bank Ltd.,KARURVYSYA,NSE,Banking,Bank - Private,NIFTY 50,0.27,63.80,-1.60,"KARURVYSYA,"
The Great Eastern Shipping Company Ltd.,GESHIP,NSE,Logistics,Shipping,NIFTY 50,0.27,546.60,-0.60,"GESHIP,"
Westlife Development Ltd.,WESTLIFE,NSE,Hospitality,"Hotel, Resort & Restaurants",NIFTY 50,0.27,621.00,1.10,"WESTLIFE,"
BEML Ltd.,BEML,NSE,Capital Goods,Engineering - Industrial Equipments,NIFTY 50,0.26,1795.80,-2.40,"BEML,"
Kalyan Jewellers India Ltd.,KALYANKJIL,NSE,Diamond & Jewellery,Diamond  &  Jewellery,NIFTY 50,0.24,80.05,3.50,"KALYANKJIL,"
Radico Khaitan Ltd.,RADICO,NSE,Alcohol,Breweries & Distilleries,NIFTY 50,0.24,1029.60,3.80,"RADICO,"
Tube Investments of India Ltd.,TIINDIA,NSE,Automobile & Ancillaries,Cycles,NIFTY 50,0.24,2059.80,-1.60,"TIINDIA,"
TVS Motor Company Ltd.,TVSMOTOR,NSE,Automobile & Ancillaries,Automobile Two & Three Wheelers,NIFTY 50,0.24,959.95,0.50,"TVSMOTOR,"
Adani Green Energy Ltd.,ADANIGREEN,NSE,Power,Power Generation/Distribution,NIFTY 50,0.23,2358.85,-2.20,"ADANIGREEN,"
Adani Power Ltd.,ADANIPOWER,NSE,Power,Power Generation/Distribution,NIFTY 50,0.23,390.40,-5.00,"ADANIPOWER,"
Bajaj Finserv Ltd.,BAJAJFINSV,NSE,Finance,Finance - Investment,NIFTY 50,0.23,16333.85,0.20,"BAJAJFINSV,"
MAS Financial Services Ltd.,MASFIN,NSE,Finance,Finance Term Lending,NIFTY 50,0.23,716.10,1.10,"MASFIN,"
ABB India Ltd.,ABB,NSE,Capital Goods,Electric Equipment,NIFTY 50,0.22,3060.45,6.70,"ABB,"
Eicher Motors Ltd.,EICHERMOT,NSE,Automobile & Ancillaries,Automobile Two & Three Wheelers,NIFTY 50,0.22,3450.70,-0.40,"EICHERMOT,"
La Opala RG Ltd.,LAOPALA,NSE,Construction Materials,Glass,NIFTY 50,0.22,341.20,1.90,"LAOPALA,"
Schaeffler India Ltd.,SCHAEFFLER,NSE,Automobile & Ancillaries,Bearings,NIFTY 50,0.22,2993.60,-0.20,"SCHAEFFLER,"
Affle (India) Ltd.,AFFLE,NSE,Telecom,Telecommunication - Equipment,NIFTY 50,0.21,1286.10,2.40,"AFFLE,"
Lakshmi Machine Works Ltd.,LAXMIMACH,NSE,Textile,Textile - Machinery,NIFTY 50,0.21,11875.45,1.80,"LAXMIMACH,"
Restaurant Brands Asia Ltd.,RBA,NSE,Hospitality,"Hotel, Resort & Restaurants",NIFTY 50,0.21,133.10,-2.20,"RBA,"
Bajaj Electricals Ltd.,BAJAJELEC,NSE,Consumer Durables,Consumer Durables - Domestic Appliances,NIFTY 50,0.20,1230.10,-1.40,"BAJAJELEC,"
CCL Products (India) Ltd.,CCL,NSE,Agriculture,Tea/Coffee,NIFTY 50,0.20,462.70,0.70,"CCL,"
City Union Bank Ltd.,CUB,NSE,Banking,Bank - Private,NIFTY 50,0.20,178.00,-0.50,"CUB,"
JK Cement Ltd.,JKCEMENT,NSE,Construction Materials,Cement & Construction Materials,NIFTY 50,0.20,2661.30,0.20,"JKCEMENT,"
JK Paper Ltd.,JKPAPER,NSE,Paper,Paper & Paper Products,NIFTY 50,0.20,429.15,3.50,"JKPAPER,"
JSW Energy Ltd.,JSWENERGY,NSE,Power,Power Generation/Distribution,NIFTY 50,0.20,325.10,1.90,"JSWENERGY,"
Elgi Equipments Ltd.,ELGIEQUIP,NSE,Capital Goods,Compressors / Pumps,NIFTY 50,0.19,473.25,2.60,"ELGIEQUIP,"
Grindwell Norton Ltd.,GRINDWELL,NSE,Abrasives,Abrasives,NIFTY 50,0.19,2184.50,0.90,"GRINDWELL,"
IDFC Ltd.,IDFC,NSE,Finance,Finance - NBFC,NIFTY 50,0.19,62.55,2.10,"IDFC,"
Oberoi Realty Ltd.,OBEROIRLTY,NSE,Realty,Construction - Real Estate,NIFTY 50,0.19,964.85,1.40,"OBEROIRLTY,"
PI Industries Ltd.,PIIND,NSE,Chemicals,Pesticides & Agrochemicals,NIFTY 50,0.19,3384.45,1.60,"PIIND,"
Torrent Power Ltd.,TORNTPOWER,NSE,Power,Power Generation/Distribution,NIFTY 50,0.19,580.95,0.00,"TORNTPOWER,"
UNO Minda Ltd.,UNOMINDA,NSE,Automobile & Ancillaries,Auto Ancillary,NIFTY 50,0.19,551.65,0.60,"UNOMINDA,"
Yes Bank Ltd.,YESBANK,NSE,Banking,Bank - Private,NIFTY 50,0.19,16.60,1.80,"YESBANK,"
One97 Communications Ltd.,PAYTM,NSE,Information Technology,e-Commerce,NIFTY 50,0.18,768.30,-1.00,"PAYTM,"
The Federal Bank Ltd.,FEDERALBNK,NSE,Banking,Bank - Private,NIFTY 50,0.18,114.00,3.80,"FEDERALBNK,"
The India Cements Ltd.,INDIACEM,NSE,Construction Materials,Cement & Construction Materials,NIFTY 50,0.18,207.60,0.40,"INDIACEM,"
CG Power and Industrial Solutions Ltd.,CGPOWER,NSE,Capital Goods,Electric Equipment,NIFTY 50,0.17,229.70,-0.40,"CGPOWER,"
Home First Finance Company India Ltd.,HOMEFIRST,NSE,Finance,Finance - Housing,NIFTY 50,0.17,942.05,-0.80,"HOMEFIRST,"
Sapphire Foods India Ltd.,SAPPHIRE,NSE,Fast Moving Consumer Goods,Consumer Food,NIFTY 50,0.17,1216.20,-1.60,"SAPPHIRE,"
Tata Communications Ltd.,TATACOMM,NSE,Telecom,Telecommunication - Service  Provider,NIFTY 50,0.17,1168.90,1.50,"TATACOMM,"
