Strongly Outperforming Benchmark Index,
Date: 29-Aug-2022,
Major Stocks,
Generated by and for: sr.chman6@gmail.com,

Stock Name,Symbol,Exch,Sector Name,Industry Name,Index,RS,Close,Chg %,Symbol with Comma for External Upload
Adani Transmission Ltd.,ADANITRANS,NSE,Power,Power Generation/Distribution,NIFTY 50,0.73,3855.55,2.80,"ADANITRANS,"
Dhani Services Ltd.,DHANI,NSE,Finance,Finance - Stock Broking,NIFTY 50,0.48,68.25,-0.20,"DHANI,"
Hinduja Global Solutions Ltd.,HGS,NSE,Information Technology,BPO/ITeS,NIFTY 50,0.47,1494.85,-4.90,"HGS,"
Campus Activewear Ltd.,CAMPUS,NSE,Retailing,Footwear,NIFTY 50,0.41,481.05,-1.20,"CAMPUS,"
Mazagon Dock Shipbuilders Ltd.,MAZDOCK,NSE,Ship Building,Ship Building,NIFTY 50,0.40,394.50,11.40,"MAZDOCK,"
Adani Enterprises Ltd.,ADANIENT,NSE,Trading,Trading,NIFTY 50,0.35,3142.60,0.10,"ADANIENT,"
Adani Total Gas Ltd.,ATGL,NSE,Gas Transmission,Gas Transmission/Marketing,NIFTY 50,0.35,3537.40,2.20,"ATGL,"
Ceat Ltd.,CEATLTD,NSE,Automobile & Ancillaries,Tyres & Allied,NIFTY 50,0.35,1387.00,0.50,"CEATLTD,"
IDFC First Bank Ltd.,IDFCFIRSTB,NSE,Banking,Bank - Private,NIFTY 50,0.35,48.65,0.40,"IDFCFIRSTB,"
KRBL Ltd.,KRBL,NSE,Fast Moving Consumer Goods,Consumer Food,NIFTY 50,0.34,303.00,7.30,"KRBL,"
Tube Investments of India Ltd.,TIINDIA,NSE,Automobile & Ancillaries,Cycles,NIFTY 50,0.34,2153.50,0.10,"TIINDIA,"
Asahi India Glass Ltd.,ASAHIINDIA,NSE,Construction Materials,Glass,NIFTY 50,0.33,634.95,0.60,"ASAHIINDIA,"
Karur Vysya Bank Ltd.,KARURVYSYA,NSE,Banking,Bank - Private,NIFTY 50,0.33,67.75,-2.50,"KARURVYSYA,"
Mahindra CIE Automotive Ltd.,MAHINDCIE,NSE,Automobile & Ancillaries,Forgings,NIFTY 50,0.33,275.30,-2.50,"MAHINDCIE,"
SKF India Ltd.,SKFINDIA,NSE,Automobile & Ancillaries,Bearings,NIFTY 50,0.33,4817.75,2.30,"SKFINDIA,"
Can Fin Homes Ltd.,CANFINHOME,NSE,Finance,Finance - Housing,NIFTY 50,0.32,634.15,-0.40,"CANFINHOME,"
Metro Brands Ltd.,METROBRAND,NSE,Retailing,Footwear,NIFTY 50,0.32,784.80,0.90,"METROBRAND,"
Westlife Development Ltd.,WESTLIFE,NSE,Hospitality,"Hotel, Resort & Restaurants",NIFTY 50,0.31,642.05,-0.40,"WESTLIFE,"
Adani Power Ltd.,ADANIPOWER,NSE,Power,Power Generation/Distribution,NIFTY 50,0.30,394.25,5.00,"ADANIPOWER,"
IDFC Ltd.,IDFC,NSE,Finance,Finance - NBFC,NIFTY 50,0.30,68.35,2.70,"IDFC,"
The Great Eastern Shipping Company Ltd.,GESHIP,NSE,Logistics,Shipping,NIFTY 50,0.30,556.00,0.90,"GESHIP,"
ABB India Ltd.,ABB,NSE,Capital Goods,Electric Equipment,NIFTY 50,0.29,3196.45,0.80,"ABB,"
Aptus Value Housing Finance India Ltd.,APTUS,NSE,Finance,Finance - Housing,NIFTY 50,0.29,354.30,1.40,"APTUS,"
KSB Ltd.,KSB,NSE,Capital Goods,Engineering - Industrial Equipments,NIFTY 50,0.29,1855.10,-2.80,"KSB,"
Varun Beverages Ltd.,VBL,NSE,Fast Moving Consumer Goods,Consumer Food,NIFTY 50,0.29,1002.20,-2.10,"VBL,"
BEML Ltd.,BEML,NSE,Capital Goods,Engineering - Industrial Equipments,NIFTY 50,0.28,1815.25,-1.20,"BEML,"
Deepak Fertilisers And Petrochemicals Corporation Ltd.,DEEPAKFERT,NSE,Chemicals,Fertilizers,NIFTY 50,0.28,919.05,-3.70,"DEEPAKFERT,"
La Opala RG Ltd.,LAOPALA,NSE,Construction Materials,Glass,NIFTY 50,0.28,351.30,-0.20,"LAOPALA,"
MAS Financial Services Ltd.,MASFIN,NSE,Finance,Finance Term Lending,NIFTY 50,0.27,721.35,-2.20,"MASFIN,"
The India Cements Ltd.,INDIACEM,NSE,Construction Materials,Cement & Construction Materials,NIFTY 50,0.27,217.60,3.60,"INDIACEM,"
Aegis Logistics Ltd.,AEGISCHEM,NSE,Logistics,Logistics,NIFTY 50,0.26,294.80,10.30,"AEGISCHEM,"
Sapphire Foods India Ltd.,SAPPHIRE,NSE,Fast Moving Consumer Goods,Consumer Food,NIFTY 50,0.26,1293.90,2.80,"SAPPHIRE,"
Schaeffler India Ltd.,SCHAEFFLER,NSE,Automobile & Ancillaries,Bearings,NIFTY 50,0.26,2976.95,-1.10,"SCHAEFFLER,"
Affle (India) Ltd.,AFFLE,NSE,Telecom,Telecommunication - Equipment,NIFTY 50,0.24,1323.70,-0.70,"AFFLE,"
CCL Products (India) Ltd.,CCL,NSE,Agriculture,Tea/Coffee,NIFTY 50,0.24,471.50,-1.20,"CCL,"
Honeywell Automation India Ltd.,HONAUT,NSE,Consumer Durables,Consumer Durables - Electronics,NIFTY 50,0.24,42768.15,0.00,"HONAUT,"
JSW Energy Ltd.,JSWENERGY,NSE,Power,Power Generation/Distribution,NIFTY 50,0.24,318.05,-0.40,"JSWENERGY,"
Lakshmi Machine Works Ltd.,LAXMIMACH,NSE,Textile,Textile - Machinery,NIFTY 50,0.24,11882.70,-0.40,"LAXMIMACH,"
